date,time,graha_positions,veda_calculations
"2022-08-01 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N12P1"",""SY"":""N8P4"",""BU"":""N10P1"",""MA"":""N2P4"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P2"",""LG"":""N12P2""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[MA, (RA), SW], [(TE)], [(GU)], [(SA)]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]}}"
"2022-08-01 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N12P2"",""SY"":""N8P4"",""BU"":""N10P1"",""MA"":""N2P4"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P2"",""LG"":""N19P4""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU], [LG]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[MA, (RA), SW], [(TE)], [(GU)], [(SA)]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU], [LG]]}}"
"2022-08-02 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N13P1"",""SY"":""N8P4"",""BU"":""N10P1"",""MA"":""N2P4"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P2"",""LG"":""N12P3""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [CH]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[MA, (RA), SW], [(TE)], [(GU)], [CH], [(SA)]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]}}"
"2022-08-02 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N13P2"",""SY"":""N8P4"",""BU"":""N10P2"",""MA"":""N2P4"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P2"",""LG"":""N19P4""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU], [LG]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [CH]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[MA, (RA), SW], [(TE)], [(GU)], [CH], [(SA)]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU], [LG]]}}"
"2022-08-03 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N14P1"",""SY"":""N9P1"",""BU"":""N10P2"",""MA"":""N2P4"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P2"",""LG"":""N12P3""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[MA, (RA), SW], [(TE)], [(GU)], [SY], [(SA)]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]}}"
"2022-08-03 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N14P2"",""SY"":""N9P1"",""BU"":""N10P2"",""MA"":""N2P4"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P2"",""LG"":""N19P4""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU], [LG]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[MA, (RA), SW], [(TE)], [(GU)], [SY], [(SA)]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU], [LG]]}}"
"2022-08-04 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N15P1"",""SY"":""N9P1"",""BU"":""N10P2"",""MA"":""N2P4"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P3"",""LG"":""N12P3""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU], [CH]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[MA, (RA), SW], [(TE)], [(GU)], [SY], [(SA)]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU], [CH]]}}"
"2022-08-04 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N15P2"",""SY"":""N9P1"",""BU"":""N10P3"",""MA"":""N2P4"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P3"",""LG"":""N19P4""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU], [CH], [LG]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[MA, (RA), SW], [(TE)], [(GU)], [SY], [(SA)]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU], [CH], [LG]]}}"
"2022-08-05 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N16P1"",""SY"":""N9P1"",""BU"":""N10P3"",""MA"":""N3P1"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P3"",""LG"":""N12P3""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]}}"
"2022-08-05 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N16P2"",""SY"":""N9P1"",""BU"":""N10P3"",""MA"":""N3P1"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P3"",""LG"":""N20P1""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]}}"
"2022-08-06 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N17P1"",""SY"":""N9P1"",""BU"":""N10P3"",""MA"":""N3P1"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P3"",""LG"":""N12P4""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [CH], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]}}"
